Station_ID, Name, Latitude, Longitude, Elevation (ft),Date_Time,(UTC),Dew Point (f), Peak_Wind Direction (Degrees), Peak_Wind Speed (mph), Precipitation 1hr (in), Precipitation 24hr (in), Precipitation 3hr (in), Precipitation 6hr (in), Relative Humidity (%), Sea_level pressure (mb), Snow depth (Inches), Temperature (f), Wind Direction (deg), Wind Direction 10m (deg), Wind Gust (kn), Wind Gust 10m (kn), Wind Speed (kn), Wind Speed 10m (kn), 
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2013-12-31,T12:53:00Z,,null,null,,,,,68.52,1011,null,28.04,270,270,,,2.99,2.99,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2013-12-31,T13:53:00Z,,null,null,,,,,77.28,1011.41,null,26.06,200,200,,,7,7,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2013-12-31,T14:53:00Z,,null,null,,,,,71.78,1011.45,null,33.08,210,210,,,2.99,2.99,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2013-12-31,T15:53:00Z,,null,null,,,,,49.89,1010.87,null,39.02,0,0,,,0,0,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2013-12-31,T16:53:00Z,,null,null,,,,,44.79,1011.04,null,42.98,180,180,,,2.99,2.99,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2013-12-31,T17:53:00Z,,null,null,,,,,36.81,1010.22,null,46.94,170,170,,,7,7,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2013-12-31,T18:53:00Z,,null,null,,,,,31.84,1008.1,null,50,150,150,,,7,7,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2013-12-31,T19:53:00Z,,null,null,,,,,33.42,1007.03,null,51.98,190,190,,,7,7,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2013-12-31,T20:53:00Z,,null,null,,,,,32.27,1006.29,null,53.96,190,190,,,11,11,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2013-12-31,T21:53:00Z,,null,null,,,,,32.11,1005.33,null,53.06,160,160,,,8.01,8.01,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2013-12-31,T22:53:00Z,,null,null,,,,,37.52,1005.4,null,51.08,160,160,,,11,11,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T00:53:00Z,,null,null,,,,,52.84,1024.94,null,42.98,150,150,,,8.01,8.01,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T01:53:00Z,,null,null,,,,,54.7,1024.98,null,42.08,140,140,,,5,5,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T02:53:00Z,,null,null,,,,,52.84,1024.6,null,42.98,160,160,,,8.01,8.01,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T03:53:00Z,,null,null,,,,,50.9,1023.92,null,42.98,170,170,,,9.99,9.99,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T04:53:00Z,,null,null,,,,,56.19,1024,null,41,160,160,,,8.01,8.01,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T05:53:00Z,,null,null,,,,,62.18,1023.03,null,39.92,160,160,,,9,9,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T06:53:00Z,,null,null,,,,,69.6,1022.81,null,37.04,170,170,,,6.01,6.01,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T07:53:00Z,,null,null,,,,,72.64,1022.18,null,35.96,160,160,,,6.01,6.01,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T08:53:00Z,,null,null,,,,,72.64,1021.5,null,35.96,170,170,,,9,9,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T09:53:00Z,,null,null,,,,,72.22,1020.78,null,37.04,160,160,,,8.01,8.01,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T10:53:00Z,,null,null,,,,,77.93,1019.93,null,33.08,160,160,,,6.01,6.01,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T11:53:00Z,,null,null,,,,,81.4,1019.64,null,32,130,130,,,5,5,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T12:53:00Z,,null,null,,,,,81.48,1019.25,null,33.08,150,150,,,6.01,6.01,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T13:53:00Z,,null,null,,,,,69.71,1018.71,null,37.94,170,170,,,11.99,11.99,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T14:53:00Z,,null,null,,,,,62.02,1018.2,null,42.08,180,180,,,14,14,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T15:53:00Z,,null,null,,,,,55.84,1017.66,null,46.94,190,190,,,15.01,15.01,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T16:53:00Z,,null,null,,,,,50.11,1017.13,null,51.98,180,180,,,14,14,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T17:53:00Z,,null,null,,,,,45.59,1015.2,null,57.92,170,170,,,13,13,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T18:53:00Z,,null,null,,,,,44.05,1013.69,null,62.06,190,190,,,18,18,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T19:53:00Z,,null,null,,,,,41.53,1011.55,null,64.94,190,190,,,20.99,20.99,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T20:53:00Z,,null,null,,,,,40.05,1010.76,null,68,200,200,26.01,26.01,17.01,17.01,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T21:53:00Z,,null,null,,,,,40.5,1010.72,null,69.08,200,200,27,27,22,22,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T22:53:00Z,,null,null,,,,,38.86,1011.4,null,69.08,230,230,,,11,11,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-01,T23:53:00Z,,null,null,,,,,45,1012.19,null,66.02,220,220,,,9.99,9.99,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-02,T00:53:00Z,,null,null,,,,,53.68,1013.39,null,60.98,240,240,,,7,7,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-02,T01:02:00Z,,null,null,,,,,41.21,1014,null,62.96,320,320,18.99,18.99,15.01,15.01,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-02,T01:53:00Z,,null,null,,,,,36.87,1015.58,null,57.02,320,320,,,20.99,20.99,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-02,T02:53:00Z,,null,null,,,,,54.15,1018.26,null,48.92,330,330,32,32,22,22,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-02,T03:53:00Z,,null,null,,,,,60.51,1020.95,null,41,340,340,31,31,18.99,18.99,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-02,T04:53:00Z,,null,null,,,,,63.99,1022.86,null,35.96,340,340,26.01,26.01,18,18,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-02,T05:53:00Z,,null,null,,,,,66.06,1024.34,null,33.08,330,330,,,20,20,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-02,T06:53:00Z,,null,null,,,,,63.45,1025.06,null,32,340,340,29,29,16,16,
KDFW,Dallas/Fort Worth International Airport,32.89743,-97.02196,541,2014-01-02,T07:53:00Z,,null,null,,,,,63.18,1026.16,null,30.02,330,330,25,25,20,20,
