STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,TAVG,WDF2,WDF5,WSF2,WSF5,EVAP,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT18
USW00013960,"DALLAS FAA AIRPORT, TX US",2012-01-01,4,0,0,0,15,4.4,4.4,8.9,330,330,10.3,14.3,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USW00013960,"DALLAS FAA AIRPORT, TX US",2012-01-02,3.1,0,0,0,11.7,1.7,1.7,4.1,350,360,7.6,9.8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USW00013960,"DALLAS FAA AIRPORT, TX US",2012-01-03,4.1,0,0,0,15,-1.1,-1.1,4.9,180,180,9.8,12.5,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USW00013960,"DALLAS FAA AIRPORT, TX US",2012-01-04,2.5,0,0,0,16.7,2.8,2.8,7.5,160,170,5.8,7.6,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USW00013960,"DALLAS FAA AIRPORT, TX US",2012-01-05,1.3,0,0,0,18.9,1.7,1.7,8.1,180,180,4.5,5.8,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USW00013960,"DALLAS FAA AIRPORT, TX US",2012-01-06,4.1,0,0,0,22.8,8.9,8.9,14,180,170,8.9,11.2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USW00013960,"DALLAS FAA AIRPORT, TX US",2012-01-07,2.9,0,0,0,16.1,6.7,6.7,12.1,310,360,6.7,9.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USW00013960,"DALLAS FAA AIRPORT, TX US",2012-01-08,1.8,0.5,0,0,14.4,4.4,4.4,9.1,40,30,5.8,8.9,0.3,1,1,1,0,0,0,0,1,0,0,0,0,0,0
USW00013960,"DALLAS FAA AIRPORT, TX US",2012-01-09,4,33.5,0,0,10.6,6.7,6.7,8.5,30,10,10.3,13,7.4,0,0,1,0,0,0,0,0,0,0,1,0,1,0
USW00013960,"DALLAS FAA AIRPORT, TX US",2012-01-10,4,12.4,0,0,7.8,5.6,5.6,7.3,320,30,7.6,9.8,0.6,0,0,1,0,0,0,0,0,0,0,0,1,1,0
